id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UggS2OK7nhr3N3gCoAEC,Uncovered,2 years ago,1503410538493,"This video was de-monetised by YouTube as being 'non-advertiser friendly'. If you want to support us and allow us to continue making 'non-advertiser friendly' content, you can visit our Patreon where there are some pretty cool rewards on offer: https://www.patreon.com/alltimeconspiracies",45,true,8,,,,,,
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8o5d6bVLYRu,Roberto Choque,8 months ago,1545487338948,Alltime Conspiracies la potencia nro 1 fue golpiado por la red terroristas alkaida liderado por USAMA BINLADIM,1
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8oOIAyUr-bz,World Breaker Hulk,8 months ago,1545487338950,Madh***d thik se research kia kar. 2.34 wala Indian army k officer,0
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8p6V2fAXs8t,Muthumathavan Muthumathavan,8 months ago,1545487338951,9,0
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8pNVss6tjcR,Lyndell Prosper,7 months ago,1548165738952,"in need of legit hacker get with only this guy called alenzanda guchkov .a friend of my introduce him to me and i text him and confirm my self .i got $50,000 in my cash app after i have been scammed spending about $10,000 to fake people who pretend as an hacker but thank God i met a legit hacker at my end .this guy is special and good at all hacks in need of money get with him .he is a professional in all following hack.banks hack .credit card .upgrading of grades.paypal and cash app transfer .credit score upgrade .text message to spy on spouse phone .bitcoin hack.he also deal with western union and money gram email him alenzandaguchkov111@yandex.com whatsapp..+1(319) 853-303",0
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8pNW5RAstqE,Ashley Kinney,7 months ago,1548165738954,that sound great,0
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8pNWVa6xjRC,Olivia Emily,7 months ago,1548165738955,i text him yesterday and even thinking is also a scam but i got bitcoin of $4000 in my bitcoin wallet,0
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8uRcsCuM6Gc,divyanshu maru,3 months ago,1558533738957,2:35 why's there an INDIAN ARMY OFFICER shown wit no context? while  thing there talked about is PAKISTANI MILITARY INTELLIGENCE... Please try to take care of these little details,0
,,,,,,,,UggS2OK7nhr3N3gCoAEC.8ShGVcrJmse8yPN9RCc0tu,Psf p28,1 week ago,1565877738958,That's sounds like fake news,0
UgwWNltR-3TckueOmHZ4AaABAg,Jim hobbs,5 days ago,1566050538495,Osama Bin Laden had been dead for years from kidney failure. He also never took credit for the WTC attacks. So much disinformation .,0,true,2,,,,,,
,,,,,,,,UgwWNltR-3TckueOmHZ4AaABAg.8yhK-WnNtJN8ymZiYB-Eqx,Anton Nb,3 days ago,1566223338820,Its not kidney but natural causes .. Osama is known drinking very sweet tea by his fellow fighters.. This known publicly by the local in afghan/pakistan border,1
,,,,,,,,UgwWNltR-3TckueOmHZ4AaABAg.8yhK-WnNtJN8ymZmsAEfaz,Anton Nb,3 days ago,1566223338821,I mean he loves sweet tea,1
UgwHMIkjjfNmbK2c3V14AaABAg,Truth VJ MC DirtyWork2,5 days ago,1566050538498,Two words... Extortion 17.,0,false,0,,,,,,
Ugy6C8dLNzvhFm7ueVB4AaABAg,Rutvik Kulkarni,1 week ago,1565877738499,2:35 Indian Military Officer quoted as Pakistan Military Intelligence. Please change this and do not mislead the viewers.,0,false,0,,,,,,
UgzSxX-LLVxhfjDXy-V4AaABAg,Psf p28,1 week ago,1565877738501,Crap story,0,false,0,,,,,,
Ugw0BTyJqj-z-SJhINJ4AaABAg,chief lucifer63,3 weeks ago,1564668138503,kidney failure is who killed him.,0,false,0,,,,,,
UgwWPH6_yfbGZsazUy94AaABAg,Anushka Sarkar,4 weeks ago,1564063338504,Pakistan would never give up their own freshly bred terrorist. NEVER,0,false,0,,,,,,
UgwtesURe8p3hDHV1I94AaABAg,Go pack Go 12,1 month ago,1563804138506,Of course the easter bunny,0,false,0,,,,,,
UgzUNDMVnURdcuETm8x4AaABAg,Muntasir Elzain,1 month ago,1563804138507,Stupid Americans did it to there selfs smfh,0,false,0,,,,,,
UgzY5Qonu4gzYLAXV_54AaABAg,Peter O,1 month ago,1563804138509,"A video that ""WAS"" on YouTube had long since been removed had a top American general that spoke on the death of bin laden.  
There was no secret that bin laden had bad kidneys and was supposed to be on dialysis.  Being on the run in the Afghan mountains made this impossible.  Bin laden died shortly after the 911 attacks from kidney failure.  He had been dead 10 years before obummer made his BS claim and NOBODY killed bin laden.  Bush had bin laden's body on ice throughout his two terms... Hmmm, interesting how bush could not EVER find him..BUT obummer becomes president through a RIGGED voting system similar to that which CROOKED SWILLery was to become president but lost to a system that was RIGGED in her favor, and all of a sudden finds and kills bin laden.  Then without showing proof to the USA or the world that he buried bin laden's body at sea.  When asked why the body was buried so soon, answered ""We are showing respect to Muslim tradition of burying the body within 24 hours of death"".  Since when are AMERICANS concerned over MUSLIM TRADITION AFTER 911?  
When bin laden was sending his videos and making his threats against the USA, the videos were being examined and medical experts said that he was getting weaker and if does not get medical treatment, will die very soon.
Well guess what, the videos stopped coming and bin laden succumbed to his failing kidneys and the bush family has their personal and business ties to the bin laden family.. Gee, let's wonder how bush got hold of bin laden's body!!  
We can also surmise the culprits behind the planning of the 911 attacks.  Why?  In the efforts of the NWO!!!",0,false,0,,,,,,
UgwhVvoVjR7uY91a92N4AaABAg,Khethu Mkhwanazi,2 months ago,1561212138511,It’s all the rich mans trick,0,false,0,,,,,,
UgyYLArI1Mk-WGmFf8x4AaABAg,Samantha Xx,2 months ago,1561212138513,"I don’t think Osama is really dead. I think the compound they raised and the man they killed was a stand in for Osama because he knew he had been discovered and escaped. I mean, they threw his body in the ocean. So how are we to prove that was really Osama? Exactly, we can’t. And correct me if I’m wrong, but all the navy seals that were involved the raid are now dead. So there’s no one to say it actually wasn’t Osama. Osama’s hiding out somewhere laughing his ass off. 🤔",0,false,0,,,,,,
UgzsPdqiHL8jjz5ar2F4AaABAg,Sammie Aldana,2 months ago,1561212138515,Mickey Mouse killed osama,0,false,0,,,,,,
